Client,Route_Name,Start_Point,End_Point,Route_Type,Pickup_Time,Departure_Time,Price_Excl_VAT,Capacity
Интернет-Решения (КГТ Волхонское),OZON КГТ Волхонское (Ст.м. Ветеранов),"Пр. Ветеранов, 21","Волхонское шоссе, 108с5",1/2 круга,07:00:00,07:10:00,2500.0,19.0
Интернет-Решения (КГТ Волхонское),OZON КГТ Волхонское (Ст.м. Ветеранов),"Пр. Ветеранов, 21","Волхонское шоссе, 108с5",1/2 круга,07:00:00,07:10:00,4000.0,55.0
Интернет-Решения (КГТ Волхонское),OZON КГТ Волхонское (Ст.м. Ветеранов),"Пр. Ветеранов, 23","Волхонское шоссе, 108с5",1/2 круга,07:00:00,07:10:00,2500.0,19.0
Интернет-Решения (КГТ Волхонское),OZON КГТ Волхонское (Ст.м. Ветеранов),"Волхонское шоссе, 108с5","бульвар Новаторов, 83А",1/2 круга,08:20:00,08:30:00,2500.0,19.0
Интернет-Решения (КГТ Волхонское),OZON КГТ Волхонское (Ст.м. Ветеранов),"Волхонское шоссе, 108с5","бульвар Новаторов, 83А",1/2 круга,08:20:00,08:30:00,4000.0,55.0
Интернет-Решения (КГТ Волхонское),OZON КГТ Волхонское (Ст.м. Ветеранов),"Волхонское шоссе, 108с5","бульвар Новаторов, 83А",Прямой,16:00:00,16:10:00,4500.0,5.0
Интернет-Решения (КГТ Волхонское),OZON КГТ Волхонское (Ст.м. Ветеранов),"Волхонское шоссе, 108с5","бульвар Новаторов, 83А",Прямой,17:00:00,17:10:00,4500.0,5.0
Интернет-Решения (КГТ Волхонское),OZON КГТ Волхонское (Ст.м. Ветеранов),"Пр. Ветеранов, 21","Волхонское шоссе, 108с5",1/2 круга,19:00:00,19:10:00,2500.0,19.0
Интернет-Решения (КГТ Волхонское),OZON КГТ Волхонское (Ст.м. Ветеранов),"Пр. Ветеранов, 21","Волхонское шоссе, 108с5",1/2 круга,19:00:00,19:10:00,4000.0,55.0
Интернет-Решения (КГТ Волхонское),OZON КГТ Волхонское (Ст.м. Ветеранов),"Волхонское шоссе, 108с5","бульвар Новаторов, 83А",1/2 круга,20:20:00,20:30:00,2500.0,19.0
Интернет-Решения (КГТ Волхонское),OZON КГТ Волхонское (Ст.м. Ветеранов),"Волхонское шоссе, 108с5","бульвар Новаторов, 83А",1/2 круга,20:20:00,20:30:00,4000.0,55.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (Кировск),"г. Кировск, Театральная площадь","Колпинское ш., 135с2",1/2 круга,06:20:00,06:30:00,5000.0,20.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (Кировск),"Колпинское ш., 135с2","г. Кировск, Театральная площадь",1/2 круга,08:15:00,08:30:00,5000.0,20.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (Кировск),"г. Кировск, Театральная площадь","Колпинское ш., 135с2",1/2 круга,18:20:00,18:30:00,5000.0,20.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (Кировск),"Колпинское ш., 135с2","г. Кировск, Театральная площадь",1/2 круга,20:15:00,20:30:00,5000.0,20.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (Кудрово),"Кудрово, Пражская ул., 9","Колпинское ш., 135с2",1/2 круга,06:35:00,06:45:00,3200.0,19.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (Кудрово),"Колпинское ш., 135с2","Кудрово, Пражская ул., 9",1/2 круга,08:20:00,08:30:00,3200.0,19.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (Кудрово),"Кудрово, Пражская ул., 9","Колпинское ш., 135с2",1/2 круга,18:35:00,18:45:00,3200.0,19.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (Кудрово),"Колпинское ш., 135с2","Кудрово, Пражская ул., 9",1/2 круга,20:20:00,20:30:00,3200.0,19.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Большевиков),"улица Коллонтай, 21к1","Колпинское ш., 135с2",1/2 круга,06:30:00,06:40:00,3995.0,55.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Большевиков),"Колпинское ш., 135с2","Пр. Большевиков, д.2",1/2 круга,08:20:00,08:30:00,3995.0,55.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Большевиков),"улица Коллонтай, 21к1","Колпинское ш., 135с2",1/2 круга,18:20:00,18:30:00,3995.0,55.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Большевиков),"Колпинское ш., 135с2","Пр. Большевиков, д.2",1/2 круга,20:20:00,20:30:00,3995.0,55.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ветеранов),"Дачный пр., 19к1","Колпинское ш., 135с2",1/2 круга,06:50:00,07:00:00,3000.0,19.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ветеранов),"Дачный пр., 19к1","Колпинское ш., 135с2",1/2 круга,06:50:00,07:00:00,3000.0,20.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ветеранов),"Дачный пр., 19к1","Колпинское ш., 135с2",1/2 круга,06:50:00,07:00:00,4500.0,55.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ветеранов),"Колпинское ш., 135с2","Дачный пр., 18",1/2 круга,08:15:00,08:30:00,3000.0,19.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ветеранов),"Колпинское ш., 135с2","Дачный пр., 18",1/2 круга,08:15:00,08:30:00,3000.0,20.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ветеранов),"Колпинское ш., 135с2","Дачный пр., 18",1/2 круга,08:15:00,08:30:00,4500.0,55.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ветеранов),"Дачный пр., 19к1","Колпинское ш., 135с2",1/2 круга,18:50:00,19:00:00,3000.0,19.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ветеранов),"Дачный пр., 19к1","Колпинское ш., 135с2",1/2 круга,18:50:00,19:00:00,3000.0,20.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ветеранов),"Дачный пр., 19к1","Колпинское ш., 135с2",1/2 круга,18:50:00,19:00:00,4500.0,55.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ветеранов),"Колпинское ш., 135с2","Дачный пр., 18",1/2 круга,20:15:00,20:30:00,3000.0,19.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ветеранов),"Колпинское ш., 135с2","Дачный пр., 18",1/2 круга,20:15:00,20:30:00,3000.0,20.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ветеранов),"Колпинское ш., 135с2","Дачный пр., 18",1/2 круга,20:15:00,20:30:00,4500.0,55.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ладожская),Ст.м. Ладожская,"Колпинское ш., 135с2",1/2 круга,06:30:00,06:40:00,3150.0,20.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ладожская),"Колпинское ш., 135с2",Ст.м. Ладожская,1/2 круга,08:15:00,08:30:00,3150.0,20.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ладожская),Ст.м. Ладожская,"Колпинское ш., 135с2",1/2 круга,18:30:00,18:40:00,3150.0,20.0
Интернет-Решения (ПСЦ Колпино),OZON ПСЦ Колпино (м. Ладожская),"Колпинское ш., 135с2",Ст.м. Ладожская,1/2 круга,20:15:00,20:30:00,3150.0,20.0
Интернет-Решения Бугры,OZON Бугры (Всеволожск),"Всеволожск, Колтушское шоссе, 39Б","Бугры, Шоссейная ул., 50к1",1/2 круга,06:40:00,06:50:00,4250.0,30.0
